Name,LeafA,LeafB,YoungAge,YoungProbabilityMass,OldAge,OldProbabilityMass
LBCA,Dorm3,ProtG29,3225,1e-5,4520,1e-5
Oxyphotobacteria (total group),Cyan20,Cyan7,3225,1e-5,4520,1e-5
Oxyphotobacteria (crown),Cyan20,Cyan40,2013.6,5e-3,4520,5e-3
HeterocystousAkineteFormingCyanobacteria,Cyan45,Cyan10,996,5e-3,3261,5e-3
Chromatiaceae (total group),ProtG75,ProtG45,1631,5e-3,4520,1e-5
Mito (total group),mitoInsect,ProtA60,1030,5e-3,4520,1e-5
Mito (crown),mitoInsect,mitoBryophyte,1030,5e-3,1879.6,1e-5
Plastids (total group),Cyan28,chloroRedAlgae,1030,1e-5,4520,1e-5
Plastids (crown),chloroArabidopsis,chloroRedAlgae,1030,5e-3,1879.6,1e-5
Chlamydia/Chlamydiae/Anoxychlamydiales (crown),Verr6,Aure2,1030,5e-3,4520,1e-5
Viridiplantae/Chloroplastida: Chlorophyta - Streptptophyta,mitoChlorophyta,mitoArabidopsis,940.4,1e-5,1879.6,1e-5
Opisthokonta (crown),mitoFungi,mitoInsect,879,1e-5,1879.6,1e-5
Protostomia (crown),mitoAnnelida,mitoInsect,532,1e-5,590.8,5e-3
Mollusca - Annelida,mitoMollusc,mitoAnnelida,532,1e-5,590.8,5e-3
Mandibula: Insect - Chelicerate,mitoInsect,mitoChelicerate,514,1e-5,543,5e-3
Embryophyta: Bryophyta - Tracheophyta,mitoBryophyte,mitoArabidopsis,430.54,1e-5,515.5,1e-5
AerobicityXGBoost1009,Acid1,Acid17,,,2315.0,2.5e-2
AerobicityXGBoost1011,Acid12,Acid13,,,2315.0,2.5e-2
AerobicityXGBoost1012,Acid14,Acid3,,,2315.0,2.5e-2
AerobicityXGBoost1014,Acid18,Acid2,,,2315.0,2.5e-2
AerobicityXGBoost1015,Acid20,Acid40,,,2315.0,2.5e-2
AerobicityXGBoost1016,Acid12,Acid23,,,2315.0,2.5e-2
AerobicityXGBoost1018,Acid27,Acid29,,,2315.0,2.5e-2
AerobicityXGBoost1019,Acid28,Acid6,,,2315.0,2.5e-2
AerobicityXGBoost1020,Acid30,Acid37,,,2315.0,2.5e-2
AerobicityXGBoost1021,Acid29,Acid34,,,2315.0,2.5e-2
AerobicityXGBoost1023,Acid36,Acid38,,,2315.0,2.5e-2
AerobicityXGBoost1024,Acid23,Acid5,,,2315.0,2.5e-2
AerobicityXGBoost1026,Acti10,Acti3,,,2315.0,2.5e-2
AerobicityXGBoost1027,Acti11,Acti22,,,2315.0,2.5e-2
AerobicityXGBoost1028,Acti12,Acti21,,,2315.0,2.5e-2
AerobicityXGBoost1029,Acti14,Acti6,,,2315.0,2.5e-2
AerobicityXGBoost1030,Acti16,Acti18,,,2315.0,2.5e-2
AerobicityXGBoost1031,Acti19,Acti23,,,2315.0,2.5e-2
AerobicityXGBoost1034,Acti28,Acti50,,,2315.0,2.5e-2
AerobicityXGBoost1037,Acti32,Acti49,,,2315.0,2.5e-2
AerobicityXGBoost1038,Acti33,Acti35,,,2315.0,2.5e-2
AerobicityXGBoost1039,Acti14,Acti34,,,2315.0,2.5e-2
AerobicityXGBoost1040,Acti36,Acti43,,,2315.0,2.5e-2
AerobicityXGBoost1041,Acti38,Acti49,,,2315.0,2.5e-2
AerobicityXGBoost1042,Acti18,Acti4,,,2315.0,2.5e-2
AerobicityXGBoost1043,Acti41,Acti46,,,2315.0,2.5e-2
AerobicityXGBoost1044,Acti44,Acti52,,,2315.0,2.5e-2
AerobicityXGBoost1045,Acti45,Acti47,,,2315.0,2.5e-2
AerobicityXGBoost1046,Acti12,Acti48,,,2315.0,2.5e-2
AerobicityXGBoost1048,Acti10,Acti7,,,2315.0,2.5e-2
AerobicityXGBoost1054,Arma13,Arma15,,,2315.0,2.5e-2
AerobicityXGBoost1056,Arma15,Arma6,,,2315.0,2.5e-2
AerobicityXGBoost1057,Arma6,Arma9,,,2315.0,2.5e-2
AerobicityXGBoost1059,Bact1,Bact11,,,2315.0,2.5e-2
AerobicityXGBoost1061,Bact16,Bact5,,,2315.0,2.5e-2
AerobicityXGBoost1062,Bact1,Bact17,,,2315.0,2.5e-2
AerobicityXGBoost1067,Bact33,Bact39,,,2315.0,2.5e-2
AerobicityXGBoost1069,Bact36,Bact43,,,2315.0,2.5e-2
AerobicityXGBoost1070,Bact37,Bact42,,,2315.0,2.5e-2
AerobicityXGBoost1072,Bact40,Bact41,,,2315.0,2.5e-2
AerobicityXGBoost1075,Bdell12,Bdell3,,,2315.0,2.5e-2
AerobicityXGBoost1076,Bdell12,Bdell13,,,2315.0,2.5e-2
AerobicityXGBoost1078,Bdell15,Bdell9,,,2315.0,2.5e-2
AerobicityXGBoost1079,Bdell16,Bdell17,,,2315.0,2.5e-2
AerobicityXGBoost1080,Bdell5,Bdell7,,,2315.0,2.5e-2
AerobicityXGBoost1081,Bdell2,Bdell6,,,2315.0,2.5e-2
AerobicityXGBoost1082,BdellC1,BdellC2,,,2315.0,2.5e-2
AerobicityXGBoost1086,Caldit1,Caldit2,,,2315.0,2.5e-2
AerobicityXGBoost1096,Chlo10,Chlo48,,,2315.0,2.5e-2
AerobicityXGBoost1101,Chlo17,Chlo44,,,2315.0,2.5e-2
AerobicityXGBoost1103,Chlo19,Chlo38,,,2315.0,2.5e-2
AerobicityXGBoost1104,Chlo21,Chlo35,,,2315.0,2.5e-2
AerobicityXGBoost1106,Chlo25,Chlo31,,,2315.0,2.5e-2
AerobicityXGBoost1108,Chlo34,Chlo42,,,2315.0,2.5e-2
AerobicityXGBoost1109,Chlo36,Chlo40,,,2315.0,2.5e-2
AerobicityXGBoost1112,Chlo42,Chlo43,,,2315.0,2.5e-2
AerobicityXGBoost1114,Chlo47,Chlo48,,,2315.0,2.5e-2
AerobicityXGBoost1117,Cyan10,Cyan45,,,2315.0,2.5e-2
AerobicityXGBoost1118,Cyan11,Cyan26,,,2315.0,2.5e-2
AerobicityXGBoost1119,Cyan13,Cyan18,,,2315.0,2.5e-2
AerobicityXGBoost1120,Cyan14,Cyan15,,,2315.0,2.5e-2
AerobicityXGBoost1121,Cyan16,Cyan29,,,2315.0,2.5e-2
AerobicityXGBoost1122,Cyan21,Cyan33,,,2315.0,2.5e-2
AerobicityXGBoost1123,Cyan27,Cyan40,,,2315.0,2.5e-2
AerobicityXGBoost1124,Cyan28,Cyan38,,,2315.0,2.5e-2
AerobicityXGBoost1125,Cyan3,Cyan42,,,2315.0,2.5e-2
AerobicityXGBoost1126,Cyan31,Cyan34,,,2315.0,2.5e-2
AerobicityXGBoost1127,Cyan32,Cyan46,,,2315.0,2.5e-2
AerobicityXGBoost1128,Cyan10,Cyan35,,,2315.0,2.5e-2
AerobicityXGBoost1130,Cyan41,Cyan46,,,2315.0,2.5e-2
AerobicityXGBoost1131,Cyan44,Cyan47,,,2315.0,2.5e-2
AerobicityXGBoost1132,Cyan4,Cyan8,,,2315.0,2.5e-2
AerobicityXGBoost1135,Dein1,Dein5,,,2315.0,2.5e-2
AerobicityXGBoost1136,Dein3,Dein7,,,2315.0,2.5e-2
AerobicityXGBoost1137,Dein4,Dein6,,,2315.0,2.5e-2
AerobicityXGBoost1138,DesuB1,DesuB2,,,2315.0,2.5e-2
AerobicityXGBoost1139,DesuB3,DesuB4,,,2315.0,2.5e-2
AerobicityXGBoost1141,DesuD1,DesuD2,,,2315.0,2.5e-2
AerobicityXGBoost1170,Dorm1,Dorm2,,,2315.0,2.5e-2
AerobicityXGBoost1171,Dorm2,Dorm5,,,2315.0,2.5e-2
AerobicityXGBoost1172,Eise1,Eise2,,,2315.0,2.5e-2
AerobicityXGBoost1173,Eise3,Eise4,,,2315.0,2.5e-2
AerobicityXGBoost1177,Erem4,Erem5,,,2315.0,2.5e-2
AerobicityXGBoost1178,Erem4,Erem6,,,2315.0,2.5e-2
AerobicityXGBoost1179,FCPU1,FCPU2,,,2315.0,2.5e-2
AerobicityXGBoost1254,FirmE7,FirmE8,,,2315.0,2.5e-2
AerobicityXGBoost1260,Firms1,Firms10,,,2315.0,2.5e-2
AerobicityXGBoost1261,Firms11,Firms17,,,2315.0,2.5e-2
AerobicityXGBoost1262,Firms1,Firms13,,,2315.0,2.5e-2
AerobicityXGBoost1264,Firms20,Firms29,,,2315.0,2.5e-2
AerobicityXGBoost1265,Firms22,Firms27,,,2315.0,2.5e-2
AerobicityXGBoost1266,Firms24,Firms26,,,2315.0,2.5e-2
AerobicityXGBoost1268,Firms30,Firms31,,,2315.0,2.5e-2
AerobicityXGBoost1270,Firms24,Firms8,,,2315.0,2.5e-2
AerobicityXGBoost1271,Gemm2,Gemm4,,,2315.0,2.5e-2
AerobicityXGBoost1272,Gemm3,Gemm6,,,2315.0,2.5e-2
AerobicityXGBoost1273,Gemm3,Gemm9,,,2315.0,2.5e-2
AerobicityXGBoost1279,Late1,Late3,,,2315.0,2.5e-2
AerobicityXGBoost1287,Mari5,Mari6,,,2315.0,2.5e-2
AerobicityXGBoost1288,Meth1,Meth2,,,2315.0,2.5e-2
AerobicityXGBoost1289,Meth3,Meth4,,,2315.0,2.5e-2
AerobicityXGBoost1290,Meth4,Meth5,,,2315.0,2.5e-2
AerobicityXGBoost1292,MyxA2,MyxA3,,,2315.0,2.5e-2
AerobicityXGBoost1293,Myxo1,Myxo2,,,2315.0,2.5e-2
AerobicityXGBoost1294,Myxo11,Myxo13,,,2315.0,2.5e-2
AerobicityXGBoost1295,Myxo14,Myxo6,,,2315.0,2.5e-2
AerobicityXGBoost1296,Myxo15,Myxo18,,,2315.0,2.5e-2
AerobicityXGBoost1298,Myxo14,Myxo5,,,2315.0,2.5e-2
AerobicityXGBoost1299,Myxo7,Myxo8,,,2315.0,2.5e-2
AerobicityXGBoost1300,Nitr10,Nitr6,,,2315.0,2.5e-2
AerobicityXGBoost1304,Nitr10,Nitr3,,,2315.0,2.5e-2
AerobicityXGBoost1307,Nits1,Nits3,,,2315.0,2.5e-2
AerobicityXGBoost1309,NitsA1,NitsA2,,,2315.0,2.5e-2
AerobicityXGBoost1312,Omni6,Omni8,,,2315.0,2.5e-2
AerobicityXGBoost1315,Pate10,Pate44,,,2315.0,2.5e-2
AerobicityXGBoost1320,Pate15,Pate29,,,2315.0,2.5e-2
AerobicityXGBoost1324,Pate15,Pate21,,,2315.0,2.5e-2
AerobicityXGBoost1327,Pate27,Pate51,,,2315.0,2.5e-2
AerobicityXGBoost1329,Pate36,Pate9,,,2315.0,2.5e-2
AerobicityXGBoost1332,Pate41,Pate49,,,2315.0,2.5e-2
AerobicityXGBoost1333,Pate43,Pate57,,,2315.0,2.5e-2
AerobicityXGBoost1336,Pate51,Pate53,,,2315.0,2.5e-2
AerobicityXGBoost1340,Plan17,Plan23,,,2315.0,2.5e-2
AerobicityXGBoost1344,Plan17,Plan31,,,2315.0,2.5e-2
AerobicityXGBoost1345,Plan33,Plan44,,,2315.0,2.5e-2
AerobicityXGBoost1347,Plan40,Plan42,,,2315.0,2.5e-2
AerobicityXGBoost1348,Plan42,Plan43,,,2315.0,2.5e-2
AerobicityXGBoost1349,Pori1,Pori2,,,2315.0,2.5e-2
AerobicityXGBoost1350,ProtA10,ProtA18,,,2315.0,2.5e-2
AerobicityXGBoost1351,ProtA11,ProtA32,,,2315.0,2.5e-2
AerobicityXGBoost1352,ProtA12,ProtA54,,,2315.0,2.5e-2
AerobicityXGBoost1353,ProtA13,ProtA61,,,2315.0,2.5e-2
AerobicityXGBoost1354,ProtA15,ProtA42,,,2315.0,2.5e-2
AerobicityXGBoost1355,ProtA16,ProtA66,,,2315.0,2.5e-2
AerobicityXGBoost1356,ProtA19,ProtA49,,,2315.0,2.5e-2
AerobicityXGBoost1357,ProtA2,ProtA68,,,2315.0,2.5e-2
AerobicityXGBoost1358,ProtA20,ProtA5,,,2315.0,2.5e-2
AerobicityXGBoost1359,ProtA21,ProtA27,,,2315.0,2.5e-2
AerobicityXGBoost1360,ProtA13,ProtA24,,,2315.0,2.5e-2
AerobicityXGBoost1361,ProtA26,ProtA37,,,2315.0,2.5e-2
AerobicityXGBoost1362,ProtA18,ProtA29,,,2315.0,2.5e-2
AerobicityXGBoost1363,ProtA3,ProtA72,,,2315.0,2.5e-2
AerobicityXGBoost1364,ProtA30,ProtA35,,,2315.0,2.5e-2
AerobicityXGBoost1365,ProtA16,ProtA33,,,2315.0,2.5e-2
AerobicityXGBoost1366,ProtA34,ProtA43,,,2315.0,2.5e-2
AerobicityXGBoost1367,ProtA36,ProtA39,,,2315.0,2.5e-2
AerobicityXGBoost1368,ProtA38,ProtA41,,,2315.0,2.5e-2
AerobicityXGBoost1369,ProtA40,ProtA67,,,2315.0,2.5e-2
AerobicityXGBoost1370,ProtA12,ProtA44,,,2315.0,2.5e-2
AerobicityXGBoost1371,ProtA26,ProtA45,,,2315.0,2.5e-2
AerobicityXGBoost1372,ProtA46,ProtA55,,,2315.0,2.5e-2
AerobicityXGBoost1373,ProtA47,ProtA63,,,2315.0,2.5e-2
AerobicityXGBoost1374,ProtA50,ProtA69,,,2315.0,2.5e-2
AerobicityXGBoost1375,ProtA51,ProtA77,,,2315.0,2.5e-2
AerobicityXGBoost1376,ProtA52,ProtA56,,,2315.0,2.5e-2
AerobicityXGBoost1377,ProtA53,ProtA58,,,2315.0,2.5e-2
AerobicityXGBoost1378,ProtA57,ProtA70,,,2315.0,2.5e-2
AerobicityXGBoost1381,ProtA13,ProtA7,,,2315.0,2.5e-2
AerobicityXGBoost1382,ProtA71,ProtA76,,,2315.0,2.5e-2
AerobicityXGBoost1383,ProtA16,ProtA8,,,2315.0,2.5e-2
AerobicityXGBoost1384,ProtG11,ProtG84,,,2315.0,2.5e-2
AerobicityXGBoost1385,ProtG12,ProtG5,,,2315.0,2.5e-2
AerobicityXGBoost1386,ProtG13,ProtG89,,,2315.0,2.5e-2
AerobicityXGBoost1387,ProtG15,ProtG39,,,2315.0,2.5e-2
AerobicityXGBoost1388,ProtG16,ProtG17,,,2315.0,2.5e-2
AerobicityXGBoost1389,ProtG18,ProtG21,,,2315.0,2.5e-2
AerobicityXGBoost1390,ProtG19,ProtG30,,,2315.0,2.5e-2
AerobicityXGBoost1391,ProtG20,ProtG36,,,2315.0,2.5e-2
AerobicityXGBoost1392,ProtG22,ProtG44,,,2315.0,2.5e-2
AerobicityXGBoost1393,ProtG25,ProtG9,,,2315.0,2.5e-2
AerobicityXGBoost1394,ProtG26,ProtG32,,,2315.0,2.5e-2
AerobicityXGBoost1395,ProtG29,ProtG76,,,2315.0,2.5e-2
AerobicityXGBoost1396,ProtG3,ProtG87,,,2315.0,2.5e-2
AerobicityXGBoost1397,ProtG31,ProtG44,,,2315.0,2.5e-2
AerobicityXGBoost1399,ProtG37,ProtG51,,,2315.0,2.5e-2
AerobicityXGBoost1401,ProtG4,ProtG87,,,2315.0,2.5e-2
AerobicityXGBoost1403,ProtG42,ProtG74,,,2315.0,2.5e-2
AerobicityXGBoost1404,ProtG43,ProtG55,,,2315.0,2.5e-2
AerobicityXGBoost1406,ProtG48,ProtG6,,,2315.0,2.5e-2
AerobicityXGBoost1407,ProtG29,ProtG49,,,2315.0,2.5e-2
AerobicityXGBoost1408,ProtG52,ProtG83,,,2315.0,2.5e-2
AerobicityXGBoost1409,ProtG53,ProtG70,,,2315.0,2.5e-2
AerobicityXGBoost1410,ProtG54,ProtG90,,,2315.0,2.5e-2
AerobicityXGBoost1411,ProtG57,ProtG80,,,2315.0,2.5e-2
AerobicityXGBoost1412,ProtG59,ProtG73,,,2315.0,2.5e-2
AerobicityXGBoost1413,ProtG60,ProtG61,,,2315.0,2.5e-2
AerobicityXGBoost1414,ProtG62,ProtG77,,,2315.0,2.5e-2
AerobicityXGBoost1415,ProtG63,ProtG67,,,2315.0,2.5e-2
AerobicityXGBoost1416,ProtG65,ProtG69,,,2315.0,2.5e-2
AerobicityXGBoost1417,ProtG66,ProtG68,,,2315.0,2.5e-2
AerobicityXGBoost1418,ProtG61,ProtG78,,,2315.0,2.5e-2
AerobicityXGBoost1419,ProtG79,ProtG81,,,2315.0,2.5e-2
AerobicityXGBoost1420,ProtG82,ProtG86,,,2315.0,2.5e-2
AerobicityXGBoost1421,ProtG85,ProtG91,,,2315.0,2.5e-2
AerobicityXGBoost1427,SAR3X1,SAR3X2,,,2315.0,2.5e-2
AerobicityXGBoost1432,Spir15,Spir9,,,2315.0,2.5e-2
AerobicityXGBoost1441,UBA1X1,UBA1X6,,,2315.0,2.5e-2
AerobicityXGBoost1442,UBA1X4,UBA1X5,,,2315.0,2.5e-2
AerobicityXGBoost1445,Verr11,Verr12,,,2315.0,2.5e-2
AerobicityXGBoost1446,Verr11,Verr14,,,2315.0,2.5e-2
AerobicityXGBoost1447,Verr2,Verr7,,,2315.0,2.5e-2
AerobicityXGBoost1450,Verr11,Verr9,,,2315.0,2.5e-2
